Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-2-SUX,UZB-2-DONI,UZB-2-RAH,UZB-2-OPE,Tekshiruv,UZB-2-SUX.1,UZB-2-DONI.1,UZB-2-RAH.1,UZB-2-OPE.1,month
02 Qoqon,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,13,5,4,2,3,1,51.550000000000004,41.24,20.62,30.93,iyul
02 Qoqon,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,20,8,4,4,4,ok,82.48,41.24,41.24,41.24,iyul
02 Qoqon,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,25,9,7,4,5,ok,85.5,66.5,38.0,47.5,iyul
02 Qoqon,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,132,48,36,24,24,ok,456.0,342.0,228.0,228.0,iyul
02 Qoqon,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,12,4,3,2,2,-1,44.0,33.0,22.0,22.0,iyul
02 Qoqon,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,57,21,15,9,11,-1,144.06,102.9,61.74,75.46000000000001,iyul
02 Qoqon,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,632,236,172,104,120,ok,1618.96,1179.92,713.44,823.2,iyul
02 Qoqon,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,209,0,0,0,209,ok,0.0,0.0,0.0,1170.3999999999999,iyul
02 Qoqon,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,84,30,24,15,15,ok,183.6,146.88,91.8,91.8,iyul
02 Qoqon,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,800,296,216,132,156,ok,1811.52,1321.92,807.84,954.72,iyul
02 Qoqon,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,1000,420,220,160,200,ok,3003.0,1573.0,1144.0,1430.0,iyul
02 Qoqon,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,209,0,209,0,0,ok,0.0,1001.11,0.0,0.0,iyul
02 Qoqon,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,100,40,20,20,20,ok,220.0,110.0,110.0,110.0,iyul
02 Qoqon,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,48,16,16,8,8,ok,88.0,88.0,44.0,44.0,iyul
02 Qoqon,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,96,36,26,16,19,1,324.71999999999997,234.51999999999998,144.32,171.38,iyul
02 Qoqon,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,8,4,4,0,0,ok,36.08,36.08,0.0,0.0,iyul
02 Qoqon,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,12,4,3,2,2,-1,44.0,33.0,22.0,22.0,iyul
02 Qoqon,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,5,2,1,1,1,ok,14.04,7.02,7.02,7.02,iyul
02 Qoqon,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,37,14,10,6,7,ok,171.78,122.69999999999999,73.62,85.89,iyul
02 Qoqon,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,55,20,15,9,11,ok,153.0,114.75,68.85000000000001,84.15,iyul
02 Qoqon,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,82,30,22,13,16,-1,231.0,169.4,100.10000000000001,123.2,iyul
02 Qoqon,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,80,40,0,20,20,ok,286.4,0.0,143.2,143.2,iyul
02 Qoqon,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,9,3,3,0,3,ok,17.82,17.82,0.0,17.82,iyul
02 Qoqon,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,24,8,8,4,4,ok,47.52,47.52,23.76,23.76,iyul
02 Qoqon,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,20,8,4,4,4,ok,50.4,25.2,25.2,25.2,iyul
02 Qoqon,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,120,120,0,0,0,ok,666.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,209,0,209,0,0,ok,0.0,1159.95,0.0,0.0,iyul
02 Qoqon,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,344,128,92,56,68,ok,806.4,579.6,352.8,428.4,iyul
02 Qoqon,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,16,4,4,4,4,ok,26.2,26.2,26.2,26.2,iyul
02 Qoqon,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,41,15,11,7,8,ok,163.20000000000002,119.68,76.16000000000001,87.04,iyul
02 Qoqon,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,40,16,12,8,4,ok,173.2,129.89999999999998,86.6,43.3,iyul
02 Qoqon,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,90,33,24,15,18,ok,184.79999999999998,134.4,84.0,100.80000000000001,iyul
02 Qoqon,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,692,256,188,112,136,ok,1433.6,1052.8,627.1999999999999,761.5999999999999,iyul
02 Qoqon,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,180,60,60,0,60,ok,291.0,291.0,0.0,291.0,iyul
02 Qoqon,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,1045,418,209,209,209,ok,2027.3,1013.65,1013.65,1013.65,iyul
02 Qoqon,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,200,80,40,40,40,ok,495.0,247.5,247.5,247.5,iyul
02 Qoqon,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,40,40,0,0,0,ok,202.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,25,9,7,4,5,ok,83.52,64.96,37.12,46.4,iyul
02 Qoqon,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,12,4,3,2,2,-1,37.12,27.839999999999996,18.56,18.56,iyul
02 Qoqon,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,140,52,38,23,27,ok,387.92,283.48,171.58,201.42,iyul
02 Qoqon,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,240,60,120,0,60,ok,358.2,716.4,0.0,358.2,iyul
02 Qoqon,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,418,209,0,209,0,ok,1247.73,0.0,1247.73,0.0,iyul
02 Qoqon,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,25,9,7,4,5,ok,54.0,42.0,24.0,30.0,iyul
02 Qoqon,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,143,53,39,23,28,ok,546.4300000000001,402.09000000000003,237.13000000000002,288.68,iyul
02 Qoqon,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,24,9,6,4,5,ok,78.92999999999999,52.62,35.08,43.849999999999994,iyul
02 Qoqon,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",650,242,175,106,127,ok,484.0,350.0,212.0,254.0,iyul
02 Qoqon,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",900,335,243,147,176,1,385.24999999999994,279.45,169.04999999999998,202.39999999999998,iyul
02 Qoqon,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,25,9,7,4,5,ok,27.0,21.0,12.0,15.0,iyul
02 Qoqon,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",400,149,108,65,78,ok,178.79999999999998,129.6,78.0,93.6,iyul
02 Qoqon,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",900,335,243,147,176,1,385.24999999999994,279.45,169.04999999999998,202.39999999999998,iyul
02 Qoqon,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,50,19,13,8,10,ok,77.89999999999999,53.3,32.8,41.0,iyul
02 Qoqon,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",90,33,24,15,18,ok,61.050000000000004,44.400000000000006,27.75,33.300000000000004,iyul
02 Qoqon,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",180,67,49,29,35,ok,154.1,112.69999999999999,66.69999999999999,80.5,iyul
02 Qoqon,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,40,15,11,7,8,1,30.749999999999996,22.549999999999997,14.349999999999998,16.4,iyul
02 Qoqon,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,5,2,1,1,1,ok,3.6,1.8,1.8,1.8,iyul
02 Qoqon,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,5,2,1,1,1,ok,3.6,1.8,1.8,1.8,iyul
02 Qoqon,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,30,11,8,5,6,ok,20.35,14.8,9.25,11.100000000000001,iyul
02 Qoqon,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,10,4,3,2,2,1,6.2,4.65,3.1,3.1,iyul
02 Qoqon,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,50,19,13,8,10,ok,44.65,30.55,18.8,23.5,iyul
02 Qoqon,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,40,15,11,7,8,1,27.75,20.35,12.950000000000001,14.8,iyul
02 Qoqon,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,10,4,3,2,2,1,6.4,4.800000000000001,3.2,3.2,iyul
02 Qoqon,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,50,19,13,8,10,ok,42.75,29.25,18.0,22.5,iyul
02 Qoqon,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,9,3,3,0,3,ok,11.75,11.75,0.0,11.75,iyul
02 Qoqon,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,16,4,4,4,4,ok,14.11,14.11,14.11,14.11,iyul
02 Qoqon,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,12,3,3,3,3,ok,10.41,10.41,10.41,10.41,iyul
02 Qoqon,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,12,4,4,0,4,ok,13.22,13.22,0.0,13.22,iyul
02 Qoqon,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,40,40,0,0,0,ok,134.4,0.0,0.0,0.0,iyul
02 Qoqon,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,5,2,1,1,1,ok,4.12,2.06,2.06,2.06,iyul
02 Qoqon,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,20,5,5,5,5,ok,8.3,8.3,8.3,8.3,iyul
02 Qoqon,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,20,0,0,0,0,-20,0.0,0.0,0.0,0.0,iyul
02 Qoqon,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,5,2,1,1,1,ok,4.2,2.1,2.1,2.1,iyul
02 Qoqon,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,50,20,15,10,10,5,34.0,25.5,17.0,17.0,iyul
02 Qoqon,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,40,20,20,0,0,ok,29.5,29.5,0.0,0.0,iyul
02 Qoqon,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
