Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-3-BOB,UZB-3-ISM,UZB-3-MUH,UZB-3-XUS,UZB-3-MAX,UZB-3-OPE,Tekshiruv,UZB-3-BOB.1,UZB-3-ISM.1,UZB-3-MUH.1,UZB-3-XUS.1,UZB-3-MAX.1,UZB-3-OPE.1,month
03 Andijon,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,18,2,2,4,2,7,0,-1,20.62,20.62,41.24,20.62,72.17,0,iyul
03 Andijon,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,40,4,4,8,4,20,0,ok,41.24,41.24,82.48,41.24,206.20000000000002,0,iyul
03 Andijon,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,204,28,24,48,24,80,0,ok,266.0,228.0,456.0,228.0,760.0,0,iyul
03 Andijon,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,21,3,3,5,2,8,0,ok,33.0,33.0,55.0,22.0,88.0,0,iyul
03 Andijon,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,185,25,23,45,20,72,0,ok,171.5,157.78,308.7,137.20000000000002,493.92,0,iyul
03 Andijon,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,388,52,48,92,44,152,0,ok,356.72,329.28000000000003,631.12,301.84000000000003,1042.72,0,iyul
03 Andijon,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,209,0,209,0,0,0,0,ok,0.0,1170.3999999999999,0.0,0.0,0.0,0,iyul
03 Andijon,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,51,6,6,12,6,21,0,ok,36.72,36.72,73.44,36.72,128.52,0,iyul
03 Andijon,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,360,48,44,88,40,140,0,ok,293.76,269.28000000000003,538.5600000000001,244.8,856.8000000000001,0,iyul
03 Andijon,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,480,40,60,140,60,180,0,ok,286.0,429.0,1001.0,429.0,1287.0,0,iyul
03 Andijon,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,120,20,20,20,20,40,0,ok,132.0,132.0,132.0,132.0,264.0,0,iyul
03 Andijon,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,209,0,0,0,209,0,0,ok,0.0,0.0,0.0,1001.11,0.0,0,iyul
03 Andijon,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,60,0,0,40,0,20,0,ok,0.0,0.0,220.0,0.0,110.0,0,iyul
03 Andijon,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,32,8,8,8,0,16,0,8,44.0,44.0,44.0,0.0,88.0,0,iyul
03 Andijon,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,50,7,6,12,5,19,0,-1,63.14,54.12,108.24,45.099999999999994,171.38,0,iyul
03 Andijon,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,8,0,4,0,0,4,0,ok,0.0,36.08,0.0,0.0,36.08,0,iyul
03 Andijon,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,15,2,2,4,2,6,0,1,22.0,22.0,44.0,22.0,66.0,0,iyul
03 Andijon,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,4,1,1,1,0,2,0,1,7.02,7.02,7.02,0.0,14.04,0,iyul
03 Andijon,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,15,2,2,4,2,6,0,1,24.54,24.54,49.08,24.54,73.62,0,iyul
03 Andijon,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,26,3,3,6,3,10,0,-1,22.950000000000003,22.950000000000003,45.900000000000006,22.950000000000003,76.5,0,iyul
03 Andijon,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,60,0,0,40,0,20,0,ok,0.0,0.0,286.4,0.0,143.2,0,iyul
03 Andijon,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,36,3,6,9,3,15,0,ok,17.82,35.64,53.46,17.82,89.10000000000001,0,iyul
03 Andijon,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,8,0,4,0,0,4,0,ok,0.0,23.76,0.0,0.0,23.76,0,iyul
03 Andijon,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,108,12,12,28,12,44,0,ok,75.6,75.6,176.4,75.6,277.2,0,iyul
03 Andijon,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,480,60,60,120,60,180,0,ok,333.0,333.0,666.0,333.0,999.0,0,iyul
03 Andijon,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,627,209,0,209,0,209,0,ok,1159.95,0.0,1159.95,0.0,1159.95,0,iyul
03 Andijon,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,104,12,12,24,16,40,0,ok,75.6,75.6,151.2,100.8,252.0,0,iyul
03 Andijon,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,8,0,0,0,0,8,0,ok,0.0,0.0,0.0,0.0,52.4,0,iyul
03 Andijon,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,14,2,2,3,2,5,0,ok,21.76,21.76,32.64,21.76,54.400000000000006,0,iyul
03 Andijon,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,15,0,3,3,3,6,0,ok,0.0,16.8,16.8,16.8,33.6,0,iyul
03 Andijon,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,512,68,64,124,56,200,0,ok,380.79999999999995,358.4,694.4,313.59999999999997,1120.0,0,iyul
03 Andijon,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,540,60,60,120,60,240,0,ok,291.0,291.0,582.0,291.0,1164.0,0,iyul
03 Andijon,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,836,0,209,209,0,418,0,ok,0.0,1013.65,1013.65,0.0,2027.3,0,iyul
03 Andijon,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,60,0,0,20,20,20,0,ok,0.0,0.0,123.75,123.75,123.75,0,iyul
03 Andijon,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,100,20,0,20,20,40,0,ok,101.0,0.0,101.0,101.0,202.0,0,iyul
03 Andijon,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,627,209,0,209,0,209,0,ok,950.9499999999999,0.0,950.9499999999999,0.0,950.9499999999999,0,iyul
03 Andijon,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,154,21,19,37,17,60,0,ok,156.66,141.74,276.02,126.82,447.6,0,iyul
03 Andijon,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,300,60,0,60,60,120,0,ok,358.2,0.0,358.2,358.2,716.4,0,iyul
03 Andijon,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,209,0,0,0,0,209,0,ok,0.0,0.0,0.0,0.0,1247.73,0,iyul
03 Andijon,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,13,2,2,3,1,5,0,ok,12.0,12.0,18.0,6.0,30.0,0,iyul
03 Andijon,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,10,1,1,2,1,4,0,-1,10.31,10.31,20.62,10.31,41.24,0,iyul
03 Andijon,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,10,1,1,2,1,4,0,-1,8.77,8.77,17.54,8.77,35.08,0,iyul
03 Andijon,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",400,53,51,96,44,156,0,ok,106.0,102.0,192.0,88.0,312.0,0,iyul
03 Andijon,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",1500,200,190,361,165,584,0,ok,229.99999999999997,218.49999999999997,415.15,189.74999999999997,671.5999999999999,0,iyul
03 Andijon,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,40,5,5,10,4,16,0,ok,15.0,15.0,30.0,12.0,48.0,0,iyul
03 Andijon,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",360,48,46,87,40,140,0,1,57.599999999999994,55.199999999999996,104.39999999999999,48.0,168.0,0,iyul
03 Andijon,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",1800,241,228,434,198,701,0,2,277.15,262.2,499.09999999999997,227.7,806.15,0,iyul
03 Andijon,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,45,6,6,11,5,18,0,1,24.599999999999998,24.599999999999998,45.099999999999994,20.5,73.8,0,iyul
03 Andijon,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",300,40,38,72,33,117,0,ok,74.0,70.3,133.20000000000002,61.050000000000004,216.45000000000002,0,iyul
03 Andijon,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",80,11,10,19,9,31,0,ok,25.299999999999997,23.0,43.699999999999996,20.7,71.3,0,iyul
03 Andijon,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,30,4,4,7,3,12,0,ok,8.2,8.2,14.349999999999998,6.1499999999999995,24.599999999999998,0,iyul
03 Andijon,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,30,4,4,7,3,12,0,ok,7.2,7.2,12.6,5.4,21.6,0,iyul
03 Andijon,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,10,1,1,2,1,4,0,-1,1.85,1.85,3.7,1.85,7.4,0,iyul
03 Andijon,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,4,1,1,1,0,2,0,1,1.55,1.55,1.55,0.0,3.1,0,iyul
03 Andijon,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,40,5,5,10,4,16,0,ok,11.75,11.75,23.5,9.4,37.6,0,iyul
03 Andijon,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,90,12,11,22,10,35,0,ok,22.200000000000003,20.35,40.7,18.5,64.75,0,iyul
03 Andijon,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,12,2,2,3,1,5,0,1,3.2,3.2,4.800000000000001,1.6,8.0,0,iyul
03 Andijon,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,100,13,13,24,11,39,0,ok,29.25,29.25,54.0,24.75,87.75,0,iyul
03 Andijon,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,100,12,12,24,12,40,0,ok,42.33,42.33,84.66,42.33,141.1,0,iyul
03 Andijon,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,152,20,20,36,16,60,0,ok,66.10000000000001,66.10000000000001,118.98,52.88,198.3,0,iyul
03 Andijon,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,20,0,0,0,20,0,0,ok,0.0,0.0,0.0,67.2,0.0,0,iyul
03 Andijon,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,70,10,10,15,10,25,0,ok,16.6,16.6,24.900000000000002,16.6,41.50000000000001,0,iyul
03 Andijon,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,120,20,20,20,20,40,0,ok,28.9,28.9,28.9,28.9,57.8,0,iyul
03 Andijon,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,90,10,10,20,10,35,0,-5,17.0,17.0,34.0,17.0,59.5,0,iyul
03 Andijon,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,160,20,20,40,20,60,0,ok,29.5,29.5,59.0,29.5,88.5,0,iyul
03 Andijon,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
03 Andijon,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0,iyul
