Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-5-AZIZ,UZB-5-SURA,UZB-5-TOX,UZB-5-YULI,UZB-5-NOD,UZB-5-SHER,UZB-5-YUL,UZB-5-MXR,UZB-5-OPE,Tekshiruv,UZB-5-AZIZ.1,UZB-5-SURA.1,UZB-5-TOX.1,UZB-5-YULI.1,UZB-5-NOD.1,UZB-5-SHER.1,UZB-5-YUL.1,UZB-5-MXR.1,UZB-5-OPE.1,month
05 Samarqand,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,48,6,5,5,5,5,6,6,5,4,-1,61.86,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,61.86,61.86,51.550000000000004,41.24,iyul
05 Samarqand,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,112,12,12,12,12,12,12,16,12,12,ok,123.72,123.72,123.72,123.72,123.72,123.72,164.96,123.72,123.72,iyul
05 Samarqand,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,564,68,64,64,64,64,68,64,60,48,ok,646.0,608.0,608.0,608.0,608.0,646.0,608.0,570.0,456.0,iyul
05 Samarqand,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,23,3,3,3,3,3,3,3,2,2,2,33.0,33.0,33.0,33.0,33.0,33.0,33.0,22.0,22.0,iyul
05 Samarqand,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,3388,400,384,376,380,388,400,392,364,304,ok,2744.0,2634.2400000000002,2579.36,2606.8,2661.6800000000003,2744.0,2689.1200000000003,2497.04,2085.44,iyul
05 Samarqand,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,836,209,209,209,209,0,0,0,0,0,ok,1170.3999999999999,1170.3999999999999,1170.3999999999999,1170.3999999999999,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,3387,402,384,375,378,387,402,393,363,303,ok,2460.24,2350.08,2295.0,2313.36,2368.44,2460.24,2405.16,2221.56,1854.36,iyul
05 Samarqand,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,7932,940,900,880,888,908,940,916,848,712,ok,5752.8,5508.0,5385.6,5434.56,5556.96,5752.8,5605.92,5189.76,4357.4400000000005,iyul
05 Samarqand,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,1300,160,140,140,140,120,180,160,140,120,ok,1144.0,1001.0,1001.0,1001.0,858.0,1287.0,1144.0,1001.0,858.0,iyul
05 Samarqand,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,209,0,0,0,0,209,0,0,0,0,ok,0.0,0.0,0.0,0.0,1375.22,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,660,80,80,80,40,80,80,80,80,60,ok,528.0,528.0,528.0,264.0,528.0,528.0,528.0,528.0,396.0,iyul
05 Samarqand,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,627,0,0,0,0,0,209,209,209,0,ok,0.0,0.0,0.0,0.0,0.0,1001.11,1001.11,1001.11,0.0,iyul
05 Samarqand,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,380,40,40,40,40,40,60,40,40,40,ok,220.0,220.0,220.0,220.0,220.0,330.0,220.0,220.0,220.0,iyul
05 Samarqand,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,120,16,16,16,16,16,16,16,16,8,16,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,44.0,iyul
05 Samarqand,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,1232,146,140,137,138,141,146,143,132,110,1,1316.9199999999998,1262.8,1235.74,1244.76,1271.82,1316.9199999999998,1289.86,1190.6399999999999,992.1999999999999,iyul
05 Samarqand,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,360,44,40,40,40,32,52,40,40,32,ok,396.88,360.79999999999995,360.79999999999995,360.79999999999995,288.64,469.03999999999996,360.79999999999995,360.79999999999995,288.64,iyul
05 Samarqand,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,136,16,15,15,15,16,16,16,15,12,ok,176.0,165.0,165.0,165.0,176.0,176.0,176.0,165.0,132.0,iyul
05 Samarqand,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,11,1,1,1,1,1,1,1,1,1,-2,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,iyul
05 Samarqand,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,136,16,15,15,15,16,16,16,15,12,ok,196.32,184.04999999999998,184.04999999999998,184.04999999999998,196.32,196.32,196.32,184.04999999999998,147.24,iyul
05 Samarqand,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,183,22,21,20,21,21,22,21,20,16,1,168.3,160.65,153.0,160.65,160.65,168.3,160.65,153.0,122.4,iyul
05 Samarqand,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,20,0,0,0,0,0,20,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,91,11,10,10,10,10,11,11,10,8,ok,84.7,77.0,77.0,77.0,77.0,84.7,84.7,77.0,61.6,iyul
05 Samarqand,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,100,20,0,0,0,20,20,20,20,0,ok,143.2,0.0,0.0,0.0,143.2,143.2,143.2,143.2,0.0,iyul
05 Samarqand,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,69,9,9,9,9,9,9,9,6,6,6,53.46,53.46,53.46,53.46,53.46,53.46,53.46,35.64,35.64,iyul
05 Samarqand,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,48,4,4,4,4,4,4,4,4,16,ok,23.76,23.76,23.76,23.76,23.76,23.76,23.76,23.76,95.04,iyul
05 Samarqand,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,40,4,4,4,4,4,4,4,4,8,ok,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,50.4,iyul
05 Samarqand,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,120,0,0,0,0,0,0,0,60,60,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,iyul
05 Samarqand,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,209,0,0,0,0,0,0,0,0,209,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.95,iyul
05 Samarqand,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,212,24,24,24,24,24,24,24,24,20,ok,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,126.0,iyul
05 Samarqand,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,32,4,4,4,4,4,4,4,0,4,ok,26.2,26.2,26.2,26.2,26.2,26.2,26.2,0.0,26.2,iyul
05 Samarqand,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,45,5,5,5,5,5,5,5,5,4,-1,54.400000000000006,54.400000000000006,54.400000000000006,54.400000000000006,54.400000000000006,54.400000000000006,54.400000000000006,54.400000000000006,43.52,iyul
05 Samarqand,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,12,0,0,0,8,0,0,0,0,0,-4,0.0,0.0,0.0,86.6,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,27,3,3,3,3,3,3,3,3,2,-1,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,30.0,iyul
05 Samarqand,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,237,27,27,27,27,27,27,27,24,21,-3,151.20000000000002,151.20000000000002,151.20000000000002,151.20000000000002,151.20000000000002,151.20000000000002,151.20000000000002,134.4,117.60000000000001,iyul
05 Samarqand,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,696,84,80,76,76,80,84,80,76,60,ok,470.4,448.0,425.59999999999997,425.59999999999997,448.0,470.4,448.0,425.59999999999997,336.0,iyul
05 Samarqand,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,300,0,0,0,60,60,60,60,60,0,ok,0.0,0.0,0.0,291.0,291.0,291.0,291.0,291.0,0.0,iyul
05 Samarqand,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,627,209,0,209,0,209,0,0,0,0,ok,1013.65,0.0,1013.65,0.0,1013.65,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,100,20,20,0,0,0,20,20,20,0,ok,123.75,123.75,0.0,0.0,0.0,123.75,123.75,123.75,0.0,iyul
05 Samarqand,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,100,20,20,20,0,0,20,20,0,0,ok,101.0,101.0,101.0,0.0,0.0,101.0,101.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,209,0,0,0,209,0,0,0,0,0,ok,0.0,0.0,0.0,950.9499999999999,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,55,7,6,6,6,6,7,6,6,5,ok,64.96,55.67999999999999,55.67999999999999,55.67999999999999,55.67999999999999,64.96,55.67999999999999,55.67999999999999,46.4,iyul
05 Samarqand,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,27,3,3,3,3,3,3,3,3,2,-1,27.839999999999996,27.839999999999996,27.839999999999996,27.839999999999996,27.839999999999996,27.839999999999996,27.839999999999996,27.839999999999996,18.56,iyul
05 Samarqand,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,270,32,31,30,30,31,32,31,29,24,ok,238.72,231.26,223.8,223.8,231.26,238.72,231.26,216.34,179.04,iyul
05 Samarqand,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,240,0,0,0,0,0,60,120,0,60,ok,0.0,0.0,0.0,0.0,0.0,358.2,716.4,0.0,358.2,iyul
05 Samarqand,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,209,0,209,0,0,0,0,0,0,0,ok,0.0,1247.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,27,3,3,3,3,3,3,3,3,2,-1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,iyul
05 Samarqand,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,45,5,5,5,5,5,5,5,5,4,-1,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,41.24,iyul
05 Samarqand,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,13,2,1,1,1,1,2,2,1,1,-1,17.54,8.77,8.77,8.77,8.77,17.54,17.54,8.77,8.77,iyul
05 Samarqand,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",1000,118,113,111,112,115,119,116,107,89,ok,236.0,226.0,222.0,224.0,230.0,238.0,232.0,214.0,178.0,iyul
05 Samarqand,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",1000,118,113,111,112,115,119,116,107,89,ok,135.7,129.95,127.64999999999999,128.79999999999998,132.25,136.85,133.39999999999998,123.05,102.35,iyul
05 Samarqand,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,50,6,6,6,6,6,6,6,5,4,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,15.0,12.0,iyul
05 Samarqand,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",600,71,68,67,67,69,71,69,64,54,ok,85.2,81.6,80.39999999999999,80.39999999999999,82.8,85.2,82.8,76.8,64.8,iyul
05 Samarqand,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",1000,118,113,111,112,115,119,116,107,89,ok,135.7,129.95,127.64999999999999,128.79999999999998,132.25,136.85,133.39999999999998,123.05,102.35,iyul
05 Samarqand,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,60,7,7,7,7,7,7,7,6,5,ok,28.699999999999996,28.699999999999996,28.699999999999996,28.699999999999996,28.699999999999996,28.699999999999996,28.699999999999996,24.599999999999998,20.5,iyul
05 Samarqand,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",300,35,34,33,34,34,36,35,32,27,ok,64.75,62.900000000000006,61.050000000000004,62.900000000000006,62.900000000000006,66.60000000000001,64.75,59.2,49.95,iyul
05 Samarqand,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",350,41,40,39,39,40,42,40,37,31,-1,94.3,92.0,89.69999999999999,89.69999999999999,92.0,96.6,92.0,85.1,71.3,iyul
05 Samarqand,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,100,12,11,11,11,11,12,12,11,9,ok,24.599999999999998,22.549999999999997,22.549999999999997,22.549999999999997,22.549999999999997,24.599999999999998,24.599999999999998,22.549999999999997,18.45,iyul
05 Samarqand,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,80,9,9,9,9,9,9,9,9,7,-1,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,12.6,iyul
05 Samarqand,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,20,2,2,2,2,2,2,2,2,2,-2,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,iyul
05 Samarqand,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,100,12,11,11,11,11,12,12,11,9,ok,22.200000000000003,20.35,20.35,20.35,20.35,22.200000000000003,22.200000000000003,20.35,16.650000000000002,iyul
05 Samarqand,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,100,12,11,11,11,11,12,12,11,9,ok,18.6,17.05,17.05,17.05,17.05,18.6,18.6,17.05,13.950000000000001,iyul
05 Samarqand,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,300,35,34,33,34,34,36,35,32,27,ok,82.25,79.9,77.55,79.9,79.9,84.60000000000001,82.25,75.2,63.45,iyul
05 Samarqand,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,200,24,23,22,22,23,24,23,21,18,ok,44.400000000000006,42.550000000000004,40.7,40.7,42.550000000000004,44.400000000000006,42.550000000000004,38.85,33.300000000000004,iyul
05 Samarqand,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,34,4,4,4,4,4,4,4,4,3,1,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.800000000000001,iyul
05 Samarqand,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,600,71,68,67,67,69,71,69,64,54,ok,159.75,153.0,150.75,150.75,155.25,159.75,155.25,144.0,121.5,iyul
05 Samarqand,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,12,0,0,0,0,0,0,0,0,0,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,100,12,12,12,12,12,12,12,12,0,-4,42.33,42.33,42.33,42.33,42.33,42.33,42.33,42.33,0.0,iyul
05 Samarqand,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,92,12,12,12,12,8,12,12,8,4,ok,47.04,47.04,47.04,47.04,31.36,47.04,47.04,31.36,15.68,iyul
05 Samarqand,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,132,16,16,16,16,16,16,16,16,4,ok,52.88,52.88,52.88,52.88,52.88,52.88,52.88,52.88,13.22,iyul
05 Samarqand,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,80,0,0,0,0,0,20,0,40,20,ok,0.0,0.0,0.0,0.0,0.0,61.85,0.0,123.7,61.85,iyul
05 Samarqand,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,136,16,15,15,15,16,16,16,15,12,ok,32.96,30.900000000000002,30.900000000000002,30.900000000000002,32.96,32.96,32.96,30.900000000000002,24.72,iyul
05 Samarqand,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,165,20,20,20,20,20,20,20,20,15,10,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,24.900000000000002,iyul
05 Samarqand,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,220,20,20,20,20,20,20,20,20,20,-40,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,iyul
05 Samarqand,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,113,13,13,13,13,13,13,13,12,10,ok,27.3,27.3,27.3,27.3,27.3,27.3,27.3,25.200000000000003,21.0,iyul
05 Samarqand,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,135,15,15,15,15,15,15,15,15,10,-5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,17.0,iyul
05 Samarqand,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,340,40,40,40,40,40,40,40,40,40,20,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,iyul
05 Samarqand,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,50,10,10,10,10,10,10,10,10,0,30,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,0.0,iyul
05 Samarqand,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,170,20,20,20,20,20,20,20,20,20,10,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,iyul
