Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-7-SARD,UZB-7-NUR,UZB-7-JAM,UZB-7-OPE,Tekshiruv,UZB-7-SARD.1,UZB-7-NUR.1,UZB-7-JAM.1,UZB-7-OPE.1,month
07 Jizzakh,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,5,2,1,2,0,ok,20.62,10.31,20.62,0,iyul
07 Jizzakh,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,60,24,16,20,0,ok,228.0,152.0,190.0,0,iyul
07 Jizzakh,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1392,572,376,448,0,4,3923.92,2579.36,3073.28,0,iyul
07 Jizzakh,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,180,75,48,57,0,ok,459.0,293.76,348.84,0,iyul
07 Jizzakh,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1564,640,420,500,0,-4,3916.8,2570.4,3060.0,0,iyul
07 Jizzakh,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,209,209,0,0,0,ok,1001.11,0.0,0.0,0,iyul
07 Jizzakh,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,220,60,80,80,0,ok,330.0,440.0,440.0,0,iyul
07 Jizzakh,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,184,72,48,56,0,-8,396.0,264.0,308.0,0,iyul
07 Jizzakh,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,95,39,26,30,0,ok,351.78,234.51999999999998,270.59999999999997,0,iyul
07 Jizzakh,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,12,4,4,4,0,ok,36.08,36.08,36.08,0,iyul
07 Jizzakh,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,1,0,0,0,0,-1,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,15,6,4,5,0,ok,73.62,49.08,61.349999999999994,0,iyul
07 Jizzakh,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,31,13,8,10,0,ok,99.45,61.2,76.5,0,iyul
07 Jizzakh,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,45,18,12,14,0,-1,138.6,92.4,107.8,0,iyul
07 Jizzakh,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,56,24,16,16,0,ok,151.2,100.8,100.8,0,iyul
07 Jizzakh,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,15,6,4,5,0,ok,65.28,43.52,54.400000000000006,0,iyul
07 Jizzakh,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,17,7,5,5,0,ok,105.0,75.0,75.0,0,iyul
07 Jizzakh,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,60,24,15,18,0,-3,134.4,84.0,100.80000000000001,0,iyul
07 Jizzakh,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,792,324,212,256,0,ok,1814.3999999999999,1187.1999999999998,1433.6,0,iyul
07 Jizzakh,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,300,60,120,120,0,ok,291.0,582.0,582.0,0,iyul
07 Jizzakh,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,20,0,0,20,0,ok,0.0,0.0,101.0,0,iyul
07 Jizzakh,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,281,115,76,90,0,ok,857.9,566.96,671.4,0,iyul
07 Jizzakh,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,30,12,8,10,0,ok,72.0,48.0,60.0,0,iyul
07 Jizzakh,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,45,15,15,15,0,ok,90.29,90.29,90.29,0,iyul
07 Jizzakh,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,30,15,15,15,0,15,78.33,78.33,78.33,0,iyul
07 Jizzakh,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,30,12,8,10,0,ok,123.72,82.48,103.10000000000001,0,iyul
07 Jizzakh,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",400,164,108,128,0,ok,328.0,216.0,256.0,0,iyul
07 Jizzakh,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",300,123,81,96,0,ok,141.45,93.14999999999999,110.39999999999999,0,iyul
07 Jizzakh,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",300,123,81,96,0,ok,141.45,93.14999999999999,110.39999999999999,0,iyul
07 Jizzakh,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",200,82,54,64,0,ok,98.39999999999999,64.8,76.8,0,iyul
07 Jizzakh,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",400,164,108,128,0,ok,196.79999999999998,129.6,153.6,0,iyul
07 Jizzakh,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",200,82,54,64,0,ok,94.3,62.099999999999994,73.6,0,iyul
07 Jizzakh,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",300,123,81,96,0,ok,141.45,93.14999999999999,110.39999999999999,0,iyul
07 Jizzakh,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,30,12,8,10,0,ok,49.199999999999996,32.8,41.0,0,iyul
07 Jizzakh,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,10,4,3,3,0,ok,15.4,11.55,11.55,0,iyul
07 Jizzakh,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",150,61,40,48,0,-1,112.85000000000001,74.0,88.80000000000001,0,iyul
07 Jizzakh,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",100,41,27,32,0,ok,94.3,62.099999999999994,73.6,0,iyul
07 Jizzakh,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,20,8,5,6,0,-1,16.4,10.25,12.299999999999999,0,iyul
07 Jizzakh,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,100,41,27,32,0,ok,63.550000000000004,41.85,49.6,0,iyul
07 Jizzakh,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,60,25,16,19,0,ok,58.75,37.6,44.65,0,iyul
07 Jizzakh,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,40,16,11,13,0,ok,29.6,20.35,24.05,0,iyul
07 Jizzakh,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,10,4,3,3,0,ok,6.4,4.800000000000001,4.800000000000001,0,iyul
07 Jizzakh,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,120,49,32,38,0,-1,110.25,72.0,85.5,0,iyul
07 Jizzakh,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,8,4,4,4,0,4,14.11,14.11,14.11,0,iyul
07 Jizzakh,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,36,16,8,12,0,ok,52.88,26.44,39.660000000000004,0,iyul
07 Jizzakh,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,15,6,4,5,0,ok,12.36,8.24,10.3,0,iyul
07 Jizzakh,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,75,30,20,25,0,ok,49.800000000000004,33.2,41.50000000000001,0,iyul
07 Jizzakh,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,15,6,4,5,0,ok,12.600000000000001,8.4,10.5,0,iyul
07 Jizzakh,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,300,125,80,95,0,ok,212.5,136.0,161.5,0,iyul
07 Jizzakh,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,60,20,20,20,0,ok,29.5,29.5,29.5,0,iyul
07 Jizzakh,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
