Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-10-ISL,UZB-10-JAH,UZB-10-JAS,UZB-10-AZI,UZB-10-AKB,UZB-10-ORF,UZB-10-ABD,UZB-10-OPE,Tekshiruv,UZB-10-ISL.1,UZB-10-JAH.1,UZB-10-JAS.1,UZB-10-AZI.1,UZB-10-AKB.1,UZB-10-ORF.1,UZB-10-ABD.1,UZB-10-OPE.1,month
10 Qashqadaryo,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,19,3,2,3,3,3,3,2,0,ok,30.93,20.62,30.93,30.93,30.93,30.93,20.62,0,iyul
10 Qashqadaryo,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,24,0,4,4,4,4,4,4,0,ok,0.0,41.24,41.24,41.24,41.24,41.24,41.24,0,iyul
10 Qashqadaryo,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,156,28,20,24,20,24,20,20,0,ok,266.0,190.0,228.0,190.0,228.0,190.0,190.0,0,iyul
10 Qashqadaryo,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,15,3,2,2,2,2,2,2,0,ok,33.0,22.0,22.0,22.0,22.0,22.0,22.0,0,iyul
10 Qashqadaryo,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1620,292,208,248,216,244,224,188,0,ok,2003.1200000000001,1426.88,1701.28,1481.76,1673.8400000000001,1536.64,1289.68,0,iyul
10 Qashqadaryo,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,414,75,54,63,54,63,57,48,0,ok,459.0,330.47999999999996,385.56,330.47999999999996,385.56,348.84,293.76,0,iyul
10 Qashqadaryo,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1892,352,244,288,252,284,264,208,0,ok,2154.2400000000002,1493.28,1762.56,1542.24,1738.08,1615.68,1272.96,0,iyul
10 Qashqadaryo,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,400,80,40,60,60,60,60,40,0,ok,572.0,286.0,429.0,429.0,429.0,429.0,286.0,0,iyul
10 Qashqadaryo,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,120,20,20,20,20,20,20,0,0,ok,132.0,132.0,132.0,132.0,132.0,132.0,0.0,0,iyul
10 Qashqadaryo,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,400,80,40,60,60,60,60,40,0,ok,440.0,220.0,330.0,330.0,330.0,330.0,220.0,0,iyul
10 Qashqadaryo,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,88,16,8,16,8,16,16,8,0,ok,88.0,44.0,88.0,44.0,88.0,88.0,44.0,0,iyul
10 Qashqadaryo,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,62,11,8,9,8,9,9,7,0,-1,99.22,72.16,81.17999999999999,72.16,81.17999999999999,81.17999999999999,63.14,0,iyul
10 Qashqadaryo,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,16,0,4,4,4,4,4,0,0,4,0.0,36.08,36.08,36.08,36.08,36.08,0.0,0,iyul
10 Qashqadaryo,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,15,3,2,2,2,2,2,2,0,ok,33.0,22.0,22.0,22.0,22.0,22.0,22.0,0,iyul
10 Qashqadaryo,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,2,0,0,0,0,0,0,0,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,32,6,4,5,4,5,4,4,0,ok,73.62,49.08,61.349999999999994,49.08,61.349999999999994,49.08,49.08,0,iyul
10 Qashqadaryo,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,43,8,6,7,6,6,6,5,0,1,61.2,45.900000000000006,53.550000000000004,45.900000000000006,45.900000000000006,45.900000000000006,38.25,0,iyul
10 Qashqadaryo,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,32,6,4,5,4,5,4,4,0,ok,46.2,30.8,38.5,30.8,38.5,30.8,30.8,0,iyul
10 Qashqadaryo,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,60,40,0,0,0,0,20,0,0,ok,286.4,0.0,0.0,0.0,0.0,143.2,0.0,0,iyul
10 Qashqadaryo,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,315,57,39,48,42,48,45,36,0,ok,338.58,231.66,285.12,249.48000000000002,285.12,267.3,213.84,0,iyul
10 Qashqadaryo,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,188,36,24,28,24,28,28,20,0,ok,213.84,142.56,166.32000000000002,142.56,166.32000000000002,166.32000000000002,118.80000000000001,0,iyul
10 Qashqadaryo,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,100,20,12,16,12,16,12,12,0,ok,126.0,75.6,100.8,75.6,100.8,75.6,75.6,0,iyul
10 Qashqadaryo,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,360,60,0,120,0,60,60,60,0,ok,333.0,0.0,666.0,0.0,333.0,333.0,333.0,0,iyul
10 Qashqadaryo,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,627,209,209,0,209,0,0,0,0,ok,1159.95,1159.95,0.0,1159.95,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,156,28,20,24,20,24,20,20,0,ok,176.4,126.0,151.2,126.0,151.2,126.0,126.0,0,iyul
10 Qashqadaryo,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,128,24,16,20,16,20,16,16,0,ok,157.2,104.8,131.0,104.8,131.0,104.8,104.8,0,iyul
10 Qashqadaryo,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,16,0,4,4,4,4,4,0,0,4,0.0,43.3,43.3,43.3,43.3,43.3,0.0,0,iyul
10 Qashqadaryo,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,396,72,51,63,51,60,54,45,0,ok,403.20000000000005,285.6,352.8,285.6,336.0,302.40000000000003,252.0,0,iyul
10 Qashqadaryo,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,1056,188,136,160,144,160,148,120,0,ok,1052.8,761.5999999999999,896.0,806.4,896.0,828.8,672.0,0,iyul
10 Qashqadaryo,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,600,120,60,60,120,120,60,60,0,ok,582.0,291.0,291.0,582.0,582.0,291.0,291.0,0,iyul
10 Qashqadaryo,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,1045,0,209,209,0,209,209,209,0,ok,0.0,1013.65,1013.65,0.0,1013.65,1013.65,1013.65,0,iyul
10 Qashqadaryo,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,200,40,20,40,20,40,20,20,0,ok,247.5,123.75,247.5,123.75,247.5,123.75,123.75,0,iyul
10 Qashqadaryo,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,1060,200,120,160,140,160,160,120,0,ok,1010.0,606.0,808.0,707.0,808.0,808.0,606.0,0,iyul
10 Qashqadaryo,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,57,10,7,9,8,9,8,7,0,1,92.8,64.96,83.52,74.24,83.52,74.24,64.96,0,iyul
10 Qashqadaryo,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,99,18,13,15,13,15,14,12,0,1,134.28,96.98,111.9,96.98,111.9,104.44,89.52,0,iyul
10 Qashqadaryo,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,360,60,0,60,60,60,60,60,0,ok,358.2,0.0,358.2,358.2,358.2,358.2,358.2,0,iyul
10 Qashqadaryo,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,30,5,4,5,4,5,4,3,0,ok,51.550000000000004,41.24,51.550000000000004,41.24,51.550000000000004,41.24,30.93,0,iyul
10 Qashqadaryo,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",500,90,65,76,66,75,70,58,0,ok,180.0,130.0,152.0,132.0,150.0,140.0,116.0,0,iyul
10 Qashqadaryo,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",100,18,13,15,13,15,14,12,0,ok,20.7,14.95,17.25,14.95,17.25,16.099999999999998,13.799999999999999,0,iyul
10 Qashqadaryo,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",1000,179,129,153,132,151,139,116,0,-1,205.85,148.35,175.95,151.79999999999998,173.64999999999998,159.85,133.39999999999998,0,iyul
10 Qashqadaryo,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,60,11,8,9,8,9,8,7,0,ok,33.0,24.0,27.0,24.0,27.0,24.0,21.0,0,iyul
10 Qashqadaryo,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",100,18,13,15,13,15,14,12,0,ok,21.599999999999998,15.6,18.0,15.6,18.0,16.8,14.399999999999999,0,iyul
10 Qashqadaryo,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",700,126,91,107,93,106,97,81,0,1,151.2,109.2,128.4,111.6,127.19999999999999,116.39999999999999,97.2,0,iyul
10 Qashqadaryo,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",1200,215,155,183,159,181,167,139,0,-1,247.24999999999997,178.25,210.45,182.85,208.14999999999998,192.04999999999998,159.85,0,iyul
10 Qashqadaryo,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,50,9,6,8,7,8,7,6,0,1,36.9,24.599999999999998,32.8,28.699999999999996,32.8,28.699999999999996,24.599999999999998,0,iyul
10 Qashqadaryo,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,20,4,3,3,3,3,3,2,0,1,15.4,11.55,11.55,11.55,11.55,11.55,7.7,0,iyul
10 Qashqadaryo,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",200,36,26,31,26,30,28,23,0,ok,66.60000000000001,48.1,57.35,48.1,55.5,51.800000000000004,42.550000000000004,0,iyul
10 Qashqadaryo,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",50,9,6,8,7,8,7,6,0,1,20.7,13.799999999999999,18.4,16.099999999999998,18.4,16.099999999999998,13.799999999999999,0,iyul
10 Qashqadaryo,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,60,11,8,9,8,9,8,7,0,ok,22.549999999999997,16.4,18.45,16.4,18.45,16.4,14.349999999999998,0,iyul
10 Qashqadaryo,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,40,7,5,6,5,6,6,5,0,ok,12.6,9.0,10.8,9.0,10.8,10.8,9.0,0,iyul
10 Qashqadaryo,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,20,4,3,3,3,3,3,2,0,1,7.4,5.550000000000001,5.550000000000001,5.550000000000001,5.550000000000001,5.550000000000001,3.7,0,iyul
10 Qashqadaryo,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,60,11,8,9,8,9,8,7,0,ok,17.05,12.4,13.950000000000001,12.4,13.950000000000001,12.4,10.85,0,iyul
10 Qashqadaryo,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,40,7,5,6,5,6,6,5,0,ok,16.45,11.75,14.100000000000001,11.75,14.100000000000001,14.100000000000001,11.75,0,iyul
10 Qashqadaryo,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,200,36,26,31,26,30,28,23,0,ok,66.60000000000001,48.1,57.35,48.1,55.5,51.800000000000004,42.550000000000004,0,iyul
10 Qashqadaryo,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,250,45,32,38,33,38,35,29,0,ok,101.25,72.0,85.5,74.25,85.5,78.75,65.25,0,iyul
10 Qashqadaryo,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,21,3,0,6,3,3,3,3,0,ok,11.75,0.0,23.5,11.75,11.75,11.75,11.75,0,iyul
10 Qashqadaryo,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,88,16,12,12,12,12,12,12,0,ok,56.44,42.33,42.33,42.33,42.33,42.33,42.33,0,iyul
10 Qashqadaryo,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,52,8,4,8,8,8,8,8,0,ok,31.36,15.68,31.36,31.36,31.36,31.36,31.36,0,iyul
10 Qashqadaryo,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,80,16,8,12,12,12,12,8,0,ok,52.88,26.44,39.660000000000004,39.660000000000004,39.660000000000004,39.660000000000004,26.44,0,iyul
10 Qashqadaryo,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,160,40,20,20,20,20,20,20,0,ok,123.7,61.85,61.85,61.85,61.85,61.85,61.85,0,iyul
10 Qashqadaryo,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,20,20,0,0,0,0,0,0,0,ok,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,79,14,10,12,10,12,11,9,0,-1,28.84,20.6,24.72,20.6,24.72,22.66,18.54,0,iyul
10 Qashqadaryo,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,160,30,20,25,20,25,20,20,0,ok,49.800000000000004,33.2,41.50000000000001,33.2,41.50000000000001,33.2,33.2,0,iyul
10 Qashqadaryo,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,260,40,20,40,40,40,40,40,0,ok,57.8,28.9,57.8,57.8,57.8,57.8,57.8,0,iyul
10 Qashqadaryo,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,79,14,10,12,10,12,11,9,0,-1,29.400000000000002,21.0,25.200000000000003,21.0,25.200000000000003,23.1,18.900000000000002,0,iyul
10 Qashqadaryo,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,110,20,15,10,15,15,15,15,0,-5,34.0,25.5,17.0,25.5,25.5,25.5,25.5,0,iyul
10 Qashqadaryo,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,120,20,0,20,20,20,20,20,0,ok,29.5,0.0,29.5,29.5,29.5,29.5,29.5,0,iyul
10 Qashqadaryo,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,60,10,10,20,0,10,0,10,0,ok,14.75,14.75,29.5,0.0,14.75,0.0,14.75,0,iyul
10 Qashqadaryo,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,130,20,20,20,20,20,20,10,0,ok,30.0,30.0,30.0,30.0,30.0,30.0,15.0,0,iyul
