Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-11-REF,UZB-11-SHE,UZB-11-SAIB,UZB-11-OPE,Tekshiruv,UZB-11-REF.1,UZB-11-SHE.1,UZB-11-SAIB.1,UZB-11-OPE.1,month
11 Navoi,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,6,2,1,3,0,ok,20.62,10.31,30.93,0,iyul
11 Navoi,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,56,24,12,20,0,ok,247.44,123.72,206.20000000000002,0,iyul
11 Navoi,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,24,12,4,9,0,1,114.0,38.0,85.5,0,iyul
11 Navoi,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,104,44,24,36,0,ok,418.0,228.0,342.0,0,iyul
11 Navoi,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1784,712,428,644,0,ok,4884.320000000001,2936.08,4417.84,0,iyul
11 Navoi,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,438,174,105,159,0,ok,1064.8799999999999,642.6,973.0799999999999,0,iyul
11 Navoi,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,956,380,228,348,0,ok,2325.6,1395.3600000000001,2129.76,0,iyul
11 Navoi,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,120,40,20,60,0,ok,286.0,143.0,429.0,0,iyul
11 Navoi,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,120,40,40,40,0,ok,264.0,264.0,264.0,0,iyul
11 Navoi,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,480,200,120,180,0,20,1100.0,660.0,990.0,0,iyul
11 Navoi,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,80,32,16,32,0,ok,176.0,88.0,176.0,0,iyul
11 Navoi,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,185,73,45,67,0,ok,658.4599999999999,405.9,604.3399999999999,0,iyul
11 Navoi,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,12,4,4,4,0,ok,36.08,36.08,36.08,0,iyul
11 Navoi,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,35,14,8,13,0,ok,154.0,88.0,143.0,0,iyul
11 Navoi,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,17,7,4,6,0,ok,85.89,49.08,73.62,0,iyul
11 Navoi,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,24,10,6,9,0,1,76.5,45.900000000000006,68.85000000000001,0,iyul
11 Navoi,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,35,14,8,13,0,ok,107.8,61.6,100.10000000000001,0,iyul
11 Navoi,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,20,0,0,20,0,ok,0.0,0.0,143.2,0,iyul
11 Navoi,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,18,9,3,6,0,ok,53.46,17.82,35.64,0,iyul
11 Navoi,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,40,16,8,16,0,ok,95.04,47.52,95.04,0,iyul
11 Navoi,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,44,16,12,16,0,ok,100.8,75.6,100.8,0,iyul
11 Navoi,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,60,60,0,0,0,ok,333.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,584,232,140,212,0,ok,1461.6,882.0,1335.6,0,iyul
11 Navoi,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,8,4,0,4,0,ok,26.2,0.0,26.2,0,iyul
11 Navoi,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,17,7,4,6,0,ok,76.16000000000001,43.52,65.28,0,iyul
11 Navoi,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,588,237,141,213,0,3,1327.2,789.6,1192.8,0,iyul
11 Navoi,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,724,288,176,264,0,4,1612.8,985.5999999999999,1478.3999999999999,0,iyul
11 Navoi,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,60,0,0,60,0,ok,0.0,0.0,291.0,0,iyul
11 Navoi,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,280,120,60,100,0,ok,606.0,303.0,505.0,0,iyul
11 Navoi,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,35,14,8,13,0,ok,129.92,74.24,120.63999999999999,0,iyul
11 Navoi,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,176,70,42,64,0,ok,522.2,313.32,477.44,0,iyul
11 Navoi,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,300,120,120,60,0,ok,716.4,716.4,358.2,0,iyul
11 Navoi,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,26,10,6,9,0,-1,103.10000000000001,61.86,92.79,0,iyul
11 Navoi,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",300,119,72,109,0,ok,238.0,144.0,218.0,0,iyul
11 Navoi,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",700,278,169,253,0,ok,319.7,194.35,290.95,0,iyul
11 Navoi,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,15,6,4,5,0,ok,18.0,12.0,15.0,0,iyul
11 Navoi,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",150,60,36,54,0,ok,72.0,43.199999999999996,64.8,0,iyul
11 Navoi,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",450,179,108,163,0,ok,205.85,124.19999999999999,187.45,0,iyul
11 Navoi,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,15,6,4,5,0,ok,24.599999999999998,16.4,20.5,0,iyul
11 Navoi,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,6,2,1,2,0,-1,7.7,3.85,7.7,0,iyul
11 Navoi,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",120,48,29,43,0,ok,88.80000000000001,53.650000000000006,79.55,0,iyul
11 Navoi,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",50,20,12,18,0,ok,46.0,27.599999999999998,41.4,0,iyul
11 Navoi,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,30,12,7,11,0,ok,24.599999999999998,14.349999999999998,22.549999999999997,0,iyul
11 Navoi,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,12,5,3,4,0,ok,9.0,5.4,7.2,0,iyul
11 Navoi,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,6,2,1,2,0,-1,3.7,1.85,3.7,0,iyul
11 Navoi,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,15,6,4,5,0,ok,9.3,6.2,7.75,0,iyul
11 Navoi,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,60,24,14,22,0,ok,56.400000000000006,32.9,51.7,0,iyul
11 Navoi,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,90,36,22,33,0,1,66.60000000000001,40.7,61.050000000000004,0,iyul
11 Navoi,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,6,2,1,2,0,-1,3.2,1.6,3.2,0,iyul
11 Navoi,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,101,40,24,37,0,ok,90.0,54.0,83.25,0,iyul
11 Navoi,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,39,15,9,15,0,ok,58.75,35.25,58.75,0,iyul
11 Navoi,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,192,76,48,68,0,ok,268.09,169.32,239.87,0,iyul
11 Navoi,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,44,16,12,16,0,ok,52.88,39.660000000000004,52.88,0,iyul
11 Navoi,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,100,20,20,40,0,-20,67.2,67.2,134.4,0,iyul
11 Navoi,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,17,7,4,6,0,ok,14.42,8.24,12.36,0,iyul
11 Navoi,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,25,10,5,10,0,ok,16.6,8.3,16.6,0,iyul
11 Navoi,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,20,0,20,0,0,ok,0.0,28.9,0.0,0,iyul
11 Navoi,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,17,7,4,6,0,ok,14.700000000000001,8.4,12.600000000000001,0,iyul
11 Navoi,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,25,10,5,10,0,ok,17.0,8.5,17.0,0,iyul
11 Navoi,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,20,20,0,0,0,ok,29.5,0.0,0.0,0,iyul
11 Navoi,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,10,0,0,10,0,ok,0.0,0.0,14.75,0,iyul
11 Navoi,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,10,0,0,0,0,-10,0.0,0.0,0.0,0,iyul
